id	title	year	rating	votes	genres
tt0057565	High and Low	1963	8.4	59553	Crime,Drama,Mystery
tt21626284	Lost Ladies	2023	8.4	50621	Comedy,Drama
tt9900782	Kaithi	2019	8.4	46256	Action,Crime,Thriller
tt3417422	Drishyam	2013	8.4	45752	Crime,Drama,Mystery
tt12361178	Drishyam 2	2021	8.4	42809	Crime,Drama,Mystery
tt9477520	Asuran	2019	8.4	35466	Action,Drama
tt7286456	Joker	2019	8.3	1602200	Crime,Drama,Thriller
tt0169547	American Beauty	1999	8.3	1246367	Drama
tt1049413	Up	2009	8.3	1177381	Animation,Adventure,Comedy
tt0086190	Star Wars: Episode VI - Return of the Jedi	1983	8.3	1160829	Action,Adventure,Fantasy
tt0338013	Eternal Sunshine of the Spotless Mind	2004	8.3	1133007	Drama,Romance,Sci-Fi
tt0119217	Good Will Hunting	1997	8.3	1132530	Drama,Romance
tt0105236	Reservoir Dogs	1992	8.3	1129221	Crime,Thriller
tt0112573	Braveheart	1995	8.3	1126885	Biography,Drama,War
tt0114709	Toy Story	1995	8.3	1118700	Animation,Adventure,Comedy
tt0086250	Scarface	1983	8.3	961191	Crime,Drama
tt0180093	Requiem for a Dream	2000	8.3	936029	Drama
tt0435761	Toy Story 3	2010	8.3	928785	Animation,Adventure,Comedy
tt15398776	Oppenheimer	2023	8.3	879717	Biography,Drama,History
tt0211915	Amélie	2001	8.3	816648	Comedy,Romance
tt0113277	Heat	1995	8.3	754014	Action,Crime,Drama
tt0062622	2001: A Space Odyssey	1968	8.3	751258	Adventure,Sci-Fi
tt0364569	Oldboy	2003	8.3	676041	Action,Drama,Mystery
tt0057012	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1964	8.3	536558	Comedy,War
tt0033467	Citizen Kane	1941	8.3	479916	Drama,Mystery
tt0119698	Princess Mononoke	1997	8.3	458305	Animation,Adventure,Fantasy
tt0052357	Vertigo	1958	8.3	443798	Mystery,Romance,Thriller
tt0087843	Once Upon a Time in America	1984	8.3	393842	Crime,Drama
tt2106476	The Hunt	2012	8.3	386581	Drama
tt0053125	North by Northwest	1959	8.3	359629	Adventure,Drama,Mystery
tt0056592	To Kill a Mockingbird	1962	8.3	342519	Crime,Drama
tt0056172	Lawrence of Arabia	1962	8.3	328186	Adventure,Biography,Drama
tt0070735	The Sting	1973	8.3	289506	Comedy,Crime,Drama
tt0045152	Singin' in the Rain	1952	8.3	271799	Comedy,Musical,Romance
tt1832382	A Separation	2011	8.3	268517	Drama
tt1255953	Incendies	2010	8.3	225694	Drama,Mystery,War
tt5074352	Dangal	2016	8.3	224317	Action,Biography,Drama
tt0986264	Like Stars on Earth	2007	8.3	216831	Drama,Family
tt0053604	The Apartment	1960	8.3	208227	Comedy,Drama,Romance
tt0017136	Metropolis	1927	8.3	193637	Drama,Sci-Fi
tt0022100	M	1931	8.3	176430	Crime,Mystery,Thriller
tt0036775	Double Indemnity	1944	8.3	174386	Crime,Drama,Film-Noir
tt10295212	Shershaah	2021	8.3	132130	Action,Biography,Drama
tt8503618	Hamilton	2020	8.3	126752	Biography,Drama,History
tt0091251	Come and See	1985	8.3	110972	Drama,Thriller,War
tt14961016	I'm Still Here	2024	8.3	103163	Biography,Drama,History
tt0044741	Ikiru	1952	8.3	95909	Drama
tt0055031	Judgment at Nuremberg	1961	8.3	90986	Drama,War
tt9179430	Vikram	2022	8.3	80416	Action,Crime,Thriller
tt9052870	Chhichhore	2019	8.3	67641	Comedy,Drama,Romance
tt7060344	Raatchasan	2018	8.3	53561	Crime,Mystery,Thriller
tt10280296	Sardar Udham	2021	8.3	49029	Crime,Drama,History
tt0993846	The Wolf of Wall Street	2013	8.2	1677997	Biography,Comedy,Crime
tt0372784	Batman Begins	2005	8.2	1641496	Action,Crime,Drama
tt1130884	Shutter Island	2010	8.2	1542842	Drama,Mystery,Thriller
tt0120382	The Truman Show	1998	8.2	1272422	Comedy,Drama
tt0266697	Kill Bill: Vol. 1	2003	8.2	1247007	Action,Crime,Thriller
tt0266543	Finding Nemo	2003	8.2	1156448	Animation,Adventure,Comedy
tt0477348	No Country for Old Men	2007	8.2	1117368	Crime,Drama,Thriller
tt0107290	Jurassic Park	1993	8.2	1114781	Action,Adventure,Sci-Fi
tt0167404	The Sixth Sense	1999	8.2	1096026	Drama,Mystery,Thriller
tt0268978	A Beautiful Mind	2001	8.2	1019546	Biography,Drama,Mystery
tt0095016	Die Hard	1988	8.2	987638	Action,Thriller
tt0075314	Taxi Driver	1976	8.2	974808	Crime,Drama
tt10872600	Spider-Man: No Way Home	2021	8.2	945256	Action,Adventure,Fantasy
tt0208092	Snatch	2000	8.2	943462	Comedy,Crime
tt0066921	A Clockwork Orange	1971	8.2	909382	Crime,Sci-Fi
tt1392214	Prisoners	2013	8.2	867103	Crime,Drama,Mystery
tt0097576	Indiana Jones and the Last Crusade	1989	8.2	836276	Action,Adventure
tt0093058	Full Metal Jacket	1987	8.2	819432	Drama,War
tt1745960	Top Gun: Maverick	2022	8.2	769392	Action,Drama
tt8579674	1917	2019	8.2	724252	Action,Drama,War
tt0457430	Pan's Labyrinth	2006	8.2	723211	Drama,Fantasy,War
tt0469494	There Will Be Blood	2007	8.2	668572	Drama
tt0119488	L.A. Confidential	1997	8.2	639373	Crime,Drama,Mystery
tt6966692	Green Book	2018	8.2	631208	Biography,Comedy,Drama
tt0112641	Casino	1995	8.2	590085	Crime,Drama
tt0071853	Monty Python and the Holy Grail	1975	8.2	586253	Adventure,Comedy,Fantasy
tt0084787	The Thing	1982	8.2	496074	Horror,Mystery,Sci-Fi
tt0347149	Howl's Moving Castle	2004	8.2	480633	Animation,Adventure,Family
tt0105695	Unforgiven	1992	8.2	453160	Drama,Western
tt0363163	Downfall	2004	8.2	387342	Biography,Drama,History
tt0031381	Gone with the Wind	1939	8.2	345467	Drama,Romance,War
tt0053291	Some Like It Hot	1959	8.2	294212	Comedy,Music,Romance
tt0059578	For a Few Dollars More	1965	8.2	287302	Drama,Western
tt0080678	The Elephant Man	1980	8.2	271883	Biography,Drama
tt0057115	The Great Escape	1963	8.2	267642	Adventure,Drama,Thriller
tt1305806	The Secret in Their Eyes	2009	8.2	231799	Drama,Mystery,Romance
tt4729430	Klaus	2019	8.2	213003	Animation,Adventure,Comedy
tt10272386	The Father	2020	8.2	211630	Drama,Mystery
tt0046912	Dial M for Murder	1954	8.2	197241	Crime,Drama,Mystery
tt0042876	Rashomon	1950	8.2	188757	Crime,Drama,Mystery
tt0040522	Bicycle Thieves	1948	8.2	184625	Drama
tt29623480	The Wild Robot	2024	8.2	160247	Animation,Sci-Fi
tt10698680	K.G.F: Chapter 2	2022	8.2	158247	Action,Crime,Drama
tt0042192	All About Eve	1950	8.2	144178	Drama
tt0089881	Ran	1985	8.2	142982	Action,Drama,War
tt0012349	The Kid	1921	8.2	140655	Comedy,Drama,Family
tt0055630	Yojimbo	1961	8.2	137153	Action,Drama,Thriller
tt0040897	The Treasure of the Sierra Madre	1948	8.2	136981	Adventure,Drama,Western
tt4849438	Baahubali 2: The Conclusion	2017	8.2	122910	Action,Drama
tt8108198	Andhadhun	2018	8.2	108099	Crime,Mystery,Thriller
tt15327088	Kantara	2022	8.2	107497	Action,Adventure,Drama
tt1954470	Gangs of Wasseypur	2012	8.2	107221	Action,Comedy,Crime
tt7838252	K.G.F: Chapter 1	2018	8.2	104344	Action,Crime,Drama
tt0367110	Swades	2004	8.2	101375	Drama,Musical
tt4430212	Drishyam	2015	8.2	100676	Crime,Drama,Mystery
tt0476735	My Father and My Son	2005	8.2	96992	Drama,Family
tt1562872	Zindagi Na Milegi Dobara	2011	8.2	90094	Comedy,Drama,Musical
tt0118849	Children of Heaven	1997	8.2	85276	Drama,Family,Sport
tt11032374	Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train	2020	8.2	83287	Animation,Action,Adventure
tt0242519	Hera Pheri	2000	8.2	75775	Action,Comedy,Crime
tt8291224	Uri: The Surgical Strike	2019	8.2	75635	Action,Drama,History
tt2356180	Bhaag Milkha Bhaag	2013	8.2	74417	Biography,Drama,Sport
tt8239946	Tumbbad	2018	8.2	67857	Drama,Fantasy,Horror
tt0015324	Sherlock Jr.	1924	8.2	61468	Action,Comedy,Romance
tt10431500	Miracle in Cell No. 7	2019	8.2	58998	Drama
tt6148156	Vikram Vedha	2017	8.2	52717	Action,Crime,Drama
tt15501640	Drishyam 2	2022	8.2	48404	Crime,Drama,Mystery
tt6316138	Ayla: The Daughter of War	2017	8.2	45887	Biography,Drama,History
tt0048473	Pather Panchali	1955	8.2	40057	Drama
tt1620933	Paan Singh Tomar	2012	8.2	38899	Action,Biography,Crime
tt0071411	Dersu Uzala	1975	8.2	34933	Adventure,Biography,Drama
tt0045274	Umberto D.	1952	8.2	29523	Drama
tt7392212	Rangasthalam	2018	8.2	29212	Action,Drama
tt0049902	A Man Escaped	1956	8.2	28831	Drama,Thriller,War
tt26458038	Manjummel Boys	2024	8.2	27142	Adventure,Drama,Thriller
tt0466460	Khosla Ka Ghosla!	2006	8.2	25783	Comedy,Crime,Drama
tt0325980	Pirates of the Caribbean: The Curse of the Black Pearl	2003	8.1	1261691	Action,Adventure,Fantasy
tt0434409	V for Vendetta	2005	8.1	1212321	Action,Drama,Sci-Fi
tt1392190	Mad Max: Fury Road	2015	8.1	1161560	Action,Adventure,Sci-Fi
tt0264464	Catch Me If You Can	2002	8.1	1159465	Biography,Crime,Drama
tt2267998	Gone Girl	2014	8.1	1117129	Drama,Mystery,Thriller
tt0198781	Monsters, Inc.	2001	8.1	1024229	Animation,Adventure,Comedy
tt1201607	Harry Potter and the Deathly Hallows: Part 2	2011	8.1	993597	Adventure,Family,Fantasy
